|citation|section_title|text
169|151.6.5|  SALE FOR RESALE|(5)
170|151.6.5|  SALE FOR RESALE|tangible personal property or a taxable service to a purchaser who acquires the property or service for the purpose of transferring it as an integral part of performing a contract, or a subcontract of a contract, for the sale, other than the lease or rental, of tangible personal property with an entity or organization exempted from the taxes imposed by this chapter under Section 151.309 or 151.310 only if the purchaser:
171|151.6.A|  SALE FOR RESALE|(A)
172|151.6.A|  SALE FOR RESALE|allocates and bills to the contract the cost of the property or service as a direct or indirect cost; and
173|151.6.B|  SALE FOR RESALE|(B)
174|151.6.B|  SALE FOR RESALE|transfers title to the property to the exempt entity or organization under the contract and any applicable acquisition regulations.
175|151.6.b|  SALE FOR RESALE|(b)
176|151.6.b|  SALE FOR RESALE|Subsection (a)
177|151.6.3|  SALE FOR RESALE|(3)
178|151.6.3|  SALE FOR RESALE|applies to a transfer of a wireless voice communication device as an integral part of a taxable service, regardless of whether there is a separate charge for the wireless voice communication device or whether the purchaser is the provider of the taxable service, if payment for the service is a condition for receiving the wireless voice communication device.
179|151.6.c|  SALE FOR RESALE|(c)
180|151.6.c|  SALE FOR RESALE|A sale for resale does not include the sale of tangible personal property or a taxable service to a purchaser who acquires the property or service for the purpose of performing a service not listed as a taxable service under Section 151.0101, regardless of whether title transfers to the service provider's customer, unless the tangible personal property or taxable service is purchased for the purpose of performing a contract, or a subcontract of a contract, for a service, including a taxable service under Section 151.0101, with any branch of the Department of Defense, Department of Homeland Security, Department of Energy, National Aeronautics and Space Administration, Central Intelligence Agency, National Security Agency, National Oceanic and Atmospheric Administration, or National Reconnaissance Office to the extent allocated and billed to the contract with the federal government.
181|151.6.d|  SALE FOR RESALE|(d)
182|151.6.d|  SALE FOR RESALE|A sale for resale includes the sale of a computer program to a provider of Internet hosting who acquires the computer program from an unrelated vendor for the purpose of selling the right to use the computer program to an unrelated user of the provider's Internet hosting services in the normal course of business and in the form or condition in which the provider acquired the computer program.  For purposes of this subsection, the purchase of the computer program by the provider qualifies as a sale for resale only if the provider offers the unrelated user a selection of computer programs that are available to the public for purchase directly from an unrelated vendor and executes a written contract with the unrelated user that specifies the name of the computer program sold to the unrelated user and includes a charge to the unrelated user for computing hardware.  This subsection applies, notwithstanding Section 151.302(b), if the unrelated user purchases the right to use the computer program from the provider through the acquisition of a license and the provider does not retain the right to use the computer program under that license.  The performance by the provider of routine maintenance of the computer program that is recommended or required by the unrelated vendor of the computer program does not affect the application of this subsection.  In this subsection, Internet hosting has the meaning assigned by Section 151.108(a).
183|151.6.e|  SALE FOR RESALE|(e)
184|151.6.e|  SALE FOR RESALE|A sale for resale does not include the sale of tangible personal property to a purchaser who acquires the property for the purpose of using, consuming, or expending it in, or incorporating it into, an oil or gas well in the performance of an oil well service taxable under Chapter 191.
185|151.7.e|  SALES PRICE OR RECEIPTS|
186|151.7.a|  SALES PRICE OR RECEIPTS|(a)
187|151.7.a|  SALES PRICE OR RECEIPTS|Except as provided by Subsections
188|151.7.c|  SALES PRICE OR RECEIPTS|(c)
189|151.7.c|  SALES PRICE OR RECEIPTS|and (d), sales price or receipts means the total amount for which a taxable item is sold, leased, or rented, valued in money, without a deduction for the cost of:
190|151.7.1|  SALES PRICE OR RECEIPTS|(1)
191|151.7.1|  SALES PRICE OR RECEIPTS|the taxable item sold, leased, or rented;
192|151.7.2|  SALES PRICE OR RECEIPTS|(2)
193|151.7.2|  SALES PRICE OR RECEIPTS|the materials used, labor or service employed, interest, losses, or other expenses;
194|151.7.3|  SALES PRICE OR RECEIPTS|(3)
195|151.7.3|  SALES PRICE OR RECEIPTS|the transportation or installation of tangible personal property;  or
196|151.7.4|  SALES PRICE OR RECEIPTS|(4)
197|151.7.4|  SALES PRICE OR RECEIPTS|transportation incident to the performance of a taxable service.
198|151.7.b|  SALES PRICE OR RECEIPTS|(b)
199|151.7.b|  SALES PRICE OR RECEIPTS|The total amount for which a taxable item is sold, leased, or rented includes a service that is a part of the sale and the amount of credit given to the purchaser by the seller.
200|151.7.c|  SALES PRICE OR RECEIPTS|(c)
201|151.7.c|  SALES PRICE OR RECEIPTS|Sales price or receipts does not include any of the following if separately identified to the customer by such means as an invoice, billing, sales slip or ticket, or contract:
202|151.7.1|  SALES PRICE OR RECEIPTS|(1)
203|151.7.1|  SALES PRICE OR RECEIPTS|a cash discount allowed on the sale;
204|151.7.2|  SALES PRICE OR RECEIPTS|(2)
205|151.7.2|  SALES PRICE OR RECEIPTS|the amount charged for tangible personal property returned by a customer if the total amount charged is refunded by cash or credit;
206|151.7.3|  SALES PRICE OR RECEIPTS|(3)
207|151.7.3|  SALES PRICE OR RECEIPTS|a refund of the charges for the performance of a taxable service;
208|151.7.4|  SALES PRICE OR RECEIPTS|(4)
209|151.7.4|  SALES PRICE OR RECEIPTS|finance, carrying and service charges, or interest from credit extended on sales of taxable items under a conditional sales contract or other contract providing for the deferred payment of the purchase price;
210|151.7.5|  SALES PRICE OR RECEIPTS|(5)
211|151.7.5|  SALES PRICE OR RECEIPTS|the value of tangible personal property that:
212|151.7.A|  SALES PRICE OR RECEIPTS|(A)
213|151.7.A|  SALES PRICE OR RECEIPTS|is taken by a seller in trade as all or part of the consideration for a sale of a taxable item;  and
214|151.7.B|  SALES PRICE OR RECEIPTS|(B)
215|151.7.B|  SALES PRICE OR RECEIPTS|is of a type of property sold by the seller in the regular course of business;
216|151.7.6|  SALES PRICE OR RECEIPTS|(6)
217|151.7.6|  SALES PRICE OR RECEIPTS|the face value of United States coin or currency in a sale of that coin or currency in which the total consideration given by the purchaser exceeds the face value of the coin or currency;  or
218|151.7.7|  SALES PRICE OR RECEIPTS|(7)
219|151.7.7|  SALES PRICE OR RECEIPTS|a voluntary gratuity or a reasonable mandatory charge for the service of a meal or food products, including soft drinks and candy, for immediate human consumption when the service charge is separated from the sales price of the meal or food product and identified as a gratuity or tip and when the total amount of the service charge is disbursed by the employer to employees who customarily and regularly provide the service.
220|151.7.d|  SALES PRICE OR RECEIPTS|(d)
221|151.7.d|  SALES PRICE OR RECEIPTS|Sales price or receipts of items sold as edible products for human consumption through the use or operation of a money-operated vending machine is 50 percent of the total gross receipts of the vendor from sales of those items, except for sales of soft drinks and candy, for which the sales price or receipts are the total gross receipts from those sales.
222|151.7.e|  SALES PRICE OR RECEIPTS|(e)
223|151.7.e|  SALES PRICE OR RECEIPTS|The sales price of membership in a private club or organization consists of the dues, fees, and other charges and assessments, including initiation fees, required for membership or a special privilege, status, or membership classification in the club or organization.
224|151.75.e|  SECURITY SERVICE|Security service means service for which a license is required under Section 1702.101 or 1702.102, Occupations Code.
225|151.8.e|  SELLER OR RETAILER|
226|151.8.a|  SELLER OR RETAILER|(a)
227|151.8.a|  SELLER OR RETAILER|Seller or retailer means a person engaged in the business of making sales of taxable items of a kind the receipts from the sale of which are included in the measure of the sales or use tax imposed by this chapter.
228|151.8.b|  SELLER OR RETAILER|(b)
229|151.8.b|  SELLER OR RETAILER|Seller and retailer include:
230|151.8.1|  SELLER OR RETAILER|(1)
231|151.8.1|  SELLER OR RETAILER|a person in the business of making sales at auction of tangible personal property owned by the person or by another;
232|151.8.2|  SELLER OR RETAILER|(2)
233|151.8.2|  SELLER OR RETAILER|a person who makes more than two sales of taxable items during a 12-month period, including sales made in the capacity of an assignee for the benefit of creditors or receiver or trustee in bankruptcy;
234|151.8.3|  SELLER OR RETAILER|(3)
235|151.8.3|  SELLER OR RETAILER|a person regarded by the comptroller as a seller or retailer under Section 151.024;
236|151.8.4|  SELLER OR RETAILER|(4)
237|151.8.4|  SELLER OR RETAILER|a hotel, motel, or owner or lessor of an office or residential building or development that contracts and pays for telecommunications services for resale to guests or tenants;
238|151.8.5|  SELLER OR RETAILER|(5)
239|151.8.5|  SELLER OR RETAILER|a person who engages in regular or systematic solicitation of sales of taxable items in this state by the distribution of catalogs, periodicals, advertising flyers, or other advertising, by means of print, radio, or television media, or by mail, telegraphy, telephone, computer data base, cable, optic, microwave, or other communication system for the purpose of effecting sales of taxable items;
240|151.8.6|  SELLER OR RETAILER|(6)
241|151.8.6|  SELLER OR RETAILER|a person who, under an agreement with another person, is:
242|151.8.A|  SELLER OR RETAILER|(A)
243|151.8.A|  SELLER OR RETAILER|entrusted with possession of tangible personal property with respect to which the other person has title or another ownership interest; and
244|151.8.B|  SELLER OR RETAILER|(B)
245|151.8.B|  SELLER OR RETAILER|authorized to sell, lease, or rent the property without additional action by the person having title to or another ownership interest in the property; and
246|151.8.7|  SELLER OR RETAILER|(7)
247|151.8.7|  SELLER OR RETAILER|a person who is a marketplace provider under Section 151.0242.
248|151.9.7|  TANGIBLE PERSONAL PROPERTY|Tangible personal property means personal property that can be seen, weighed, measured, felt, or touched or that is perceptible to the senses in any other manner, and, for the purposes of this chapter, the term includes a computer program and a telephone prepaid calling card.
249|151.10.7|  TAXABLE ITEM|Taxable item means tangible personal property and taxable services.  Except as otherwise provided by this chapter, the sale or use of a taxable item in electronic form instead of on physical media does not alter the item's tax status.
250|151.101.7|  TAXABLE SERVICES|
251|151.101.a|  TAXABLE SERVICES|(a)
252|151.101.a|  TAXABLE SERVICES|Taxable services means:
253|151.101.1|  TAXABLE SERVICES|(1)
254|151.101.1|  TAXABLE SERVICES|amusement services;
255|151.101.2|  TAXABLE SERVICES|(2)
256|151.101.2|  TAXABLE SERVICES|cable television services;
257|151.101.3|  TAXABLE SERVICES|(3)
258|151.101.3|  TAXABLE SERVICES|personal services;
259|151.101.4|  TAXABLE SERVICES|(4)
260|151.101.4|  TAXABLE SERVICES|motor vehicle parking and storage services;
261|151.101.5|  TAXABLE SERVICES|(5)
262|151.101.5|  TAXABLE SERVICES|the repair, remodeling, maintenance, and restoration of tangible personal property, except:
263|151.101.A|  TAXABLE SERVICES|(A)
264|151.101.A|  TAXABLE SERVICES|aircraft;
265|151.101.B|  TAXABLE SERVICES|(B)
266|151.101.B|  TAXABLE SERVICES|a ship, boat, or other vessel, other than:
267|151.101.i|  TAXABLE SERVICES|(i)
268|151.101.i|  TAXABLE SERVICES|a taxable boat or motor as defined by Section 160.001;(ii)  a sports fishing boat;  or(iii)  any other vessel used for pleasure;
269|151.101.C|  TAXABLE SERVICES|(C)
270|151.101.C|  TAXABLE SERVICES|the repair, maintenance, and restoration of a motor vehicle;  and
271|151.101.D|  TAXABLE SERVICES|(D)
272|151.101.D|  TAXABLE SERVICES|the repair, maintenance, creation, and restoration of a computer program, including its development and modification, not sold by the person performing the repair, maintenance, creation, or restoration service;
273|151.101.6|  TAXABLE SERVICES|(6)
274|151.101.6|  TAXABLE SERVICES|telecommunications services;
275|151.101.7|  TAXABLE SERVICES|(7)
276|151.101.7|  TAXABLE SERVICES|credit reporting services;
277|151.101.8|  TAXABLE SERVICES|(8)
278|151.101.8|  TAXABLE SERVICES|debt collection services;
279|151.101.9|  TAXABLE SERVICES|(9)
280|151.101.9|  TAXABLE SERVICES|insurance services;
281|151.101.10|  TAXABLE SERVICES|(10)
282|151.101.10|  TAXABLE SERVICES|information services;
283|151.101.11|  TAXABLE SERVICES|(11)
284|151.101.11|  TAXABLE SERVICES|real property services;
285|151.101.12|  TAXABLE SERVICES|(12)
286|151.101.12|  TAXABLE SERVICES|data processing services;
287|151.101.13|  TAXABLE SERVICES|(13)
288|151.101.13|  TAXABLE SERVICES|real property repair and remodeling;
289|151.101.14|  TAXABLE SERVICES|(14)
